Content Tag ID,Name (in english) (must be unique),Name (in bengali) (must be unique),View order
,Addition and Subtraction ,যোগ ও বিয়োগ,825
,"Addition, Subtraction, Multiplication and Division ","যোগ, বিয়োগ, গুণ ও ভাগ সংক্রান্ত",826
,Primary Science (Class Four)_Radio,প্রাথমিক বিজ্ঞান (চতুর্থ শ্রেণি)_রেডিও,827
,Plants and Animals ,পরিবেশে জীব ( উদ্ভিদ ও প্রাণী),828
,What plants need to make food,খাদ্য তৈরির জন্য উদ্ভিদের যা প্রয়োজন,829
,Change in the enviroment,পরিবেশের পরিবর্তন,830
,Defferences netween plants and animals,উদ্ভিদ ও প্রাণীর পার্থক্য,831
,The effects of enviroment on living things,জীবের উপর পরিবেশের প্রভাব,832
,The Importance of Soil,মাটির গুরুত্ব,833
,Growth of Soil Fertility,মাটির উর্বরতা বৃদ্ধি,834
,Soil Pollution,মাটি দূষণ,835
,Sources of food ,খাদ্যের উৎস,836
,Nutrients 2,পুষ্টি উপাদান,837
,Our Healthy Lifestyle 1,সুস্থ্য জীবন যাপন,839
,Water borne diseases,পানিবাহিত রোগ,840
,properties of matter,পদার্থের বৈশিষ্ট্য,841
,Classification of Natural Resources 1,বিভিন্ন ধরণের প্রাকৃতিক সম্পদ,842
,Uses of Natural Resources for energy production,শক্তি উৎপাদনে প্রাকৃতিক সম্পদের ব্যবহার ,843
,Conservation of nature conservation 2,প্রাকৃতিক সম্পদের সংরক্ষণ,844
,The Galaxy,সৌরজগৎ,845
,Star,নক্ষত্র,846
,Technolgy in Daily Life,দৈনন্দিন জীবনে প্রযুক্তি,847
,Technology in Agriculture 1,কৃষিতে প্রযুক্তি,848
,Daily Weather,দৈনন্দিন আবহাওয়া,849
,Cloud and Rain,মেঘ ও বৃষ্টি,850
,Weather and Climate in our life,আমাদের জীবনে আবহাওয়া ও জলবায়ু,851
,Accidents in our life,আমাদের জীবনে দুর্ঘটনা,852
,First Aid,প্রাথমিক চিকিৎসা,853
,Development and Use of information and communication technology,তথ্য ও যোগাযোগ প্রযুক্তির উন্নয়ন এবং এর ব্যবহার,854
,"Relationship between Population, Shelter and food","জনসংখ্যা, খাদ্য ও বাসস্থানের মধ্যকার সম্পর্ক",855
,Science_Grade_Four,সাধারণ বিজ্ঞান (৪র্থ শ্রেণি),856
,Needs of living things for survive,পরিবেশে জীব - বেঁচে থাকার জন্য জীবের যা প্রয়োজন,857
,Human dependency on plants and animals for food,খাদ্যের জন্য উদ্ভিদ ও প্রাণীর উপর মানুষের নির্ভরশীলতা,858
,Plants in the enviroment,পরিবেশে উদ্ভিদ,859
,Animals in the enviroment,পরিবেশে প্রাণী,860
,The Importance of Soil utilization,মাটির গুরুত্ব ব্যবহার,862
, Soil Fertility,মাটির উর্বরতা ( সার ব্যবহার ও ফসল আর্বতন),863
,Nutrients,পুষ্টি উপাদান ও ভিটামিন,864
,Nutrients: Necessity of protein and nutriets,পুষ্টি উপাদানঃ আমিষ এবং পুষ্টি উপাদানের প্রয়োজনীয়তা,865
,Our Healthy Lifestyle,সুস্থ জীবন যাপন ,867
,Waterborne diseases spreading,পানিবাহিত রোগঃ পানিবাহিত রোগের বিস্তার,868
,Waterborne diseases,পানিবাহিত রোগ ১,869
,Prevention of waterborne diseases,পানিবাহিত রোগঃ পানিবাহিত রোগ প্রতিরোধ,870
,Types and symptoms of waterborne diseases,পানিবাহিত রোগঃ পানিবাহিত রোগ এবং পানি বাহিত রোগের লক্ষণ,871
,Various objects around us..... unit is millimeter or litre,আমাদের চারপাশে নানা বস্তু..... একক হলো মিলিমিটার বা লিটার,872
,what is air? 1st part,বায়ু কী? বায়ুর বৈশিষ্ঠ্য। ১ম ভাগ,873
,what is air? 2nd part,বায়ু কী? বায়ুর বৈশিষ্ঠ্য। ২য় ভাগ,874
,what is air? 3rd part,বায়ু কী? বায়ুর বৈশিষ্ঠ্য। ৩য় ভাগ,875
,Types of Natural Resources,বিভিন্ন ধরনের প্রাকৃতিক সম্পদ,876
,Classification of Natural Resources 2,বিভিন্ন ধরনের প্রাকৃতিক সম্পদঃ প্রাকৃতিক সম্পদের শ্রেণিবিন্যাস,877
,Conservation of nature conservation,প্রাকৃতিক সম্পদ সংরক্ষণ,878
,How does the shape of the Moon change?,চাঁদের আকার কিভাবে পরিবর্তিত হয়,879
,Technolgy in our life,আমাদের জীবনে প্রযুক্তি 2,880
,Technolgy in Medical Treatment and Entertainment,চিকিৎসা ও বিনোদনে প্রযুক্তি,881
,Technolgy in Agriculture,কৃষিকাজে প্রযুক্তি,882
,What does mean by Weather?,আবহাওয়া বলতে কী বুঝি?,883
,Weather Observation,আবহাওয়া পর্যবেক্ষণ,884
,Causes of Weather Changes,আবহাওয়া পরিবর্তনের কারণ কী,885
,Weather and Climate,আবহাওয়া ও জলবায়ু,886
,Climate,জলবায়ু,887
,Climate of Bangladesh,বাংলাদেশের জলবায়ু,888
,How can we save people who get involved in an accident?,কিভাবে দুর্ঘটনা প্রতিরোধ করা যায়,889
,First aid treatment for burning,আগুনে পুড়ে যাওয়ার প্রাথমিক চিকিৎসা,890
,Drowning,পানিতে ডোবা,891
,Information and Communication Technolgy,তথ্য ও যোগাযোগ প্রযুক্তি,892
,Improvement of ICT,তথ্য ও যোগাযোগ প্রযুক্তির উন্নয়ন,893
,Development of ICT,তথ্য ও যোগাযোগ প্রযুক্তির বিকাশ,894
,Use of Information,তথ্যের ব্যবহার,895
,"Collecting, Storing and Sharing Information","তথ্য সংগ্রহ, সংরক্ষণ ও বিনিময়",896
,Impact of Population Growth on Natural Resources,প্রাকৃতিক সম্পদের উপর জনসংখ্যা বৃদ্ধির প্রভার,898
,Primary Science Grade 4,প্রাথমিক বিজ্ঞান চতুর্থ শ্রেণি,899
,Information and communication,তথ্য ও যোগাযোগ,900
,Use of communication technology,যোগাযোগ প্রযুক্তি ব্যবহার,901
,Use of information and communication technology,তথ্য ও যোগাযোগ প্রযুক্তি ব্যবহার ,902
, Use of information, তথ্যের ব্যবহার,903
,Sources of information and its use,তথ্যের উৎস এবং এর ব্যবহার,904
,Use of information with tools,যন্ত্রের সাহায্যে তথ্যের ব্যবহার,905
,Use of technology in daily life,দৈনন্দিন জীবনে প্রযুক্তি ব্যবহার,906
, Technology in medicine and entertainment, চিকিৎসা ও বিনোদনে প্রযুক্তি,907
, Treatment and recreation, চিকিৎসা ও বিনোদন,908
,Forestry and beautifying,বনজ ও সৌন্দর্য বর্ধক,909
,Difference Between Plants and Animals,উদ্ভিদ ও প্রাণীর মধ্যে পার্থক্য,910
, All the plants that grow in the environment, পরিবেশে যে সকল উদ্ভিদ জন্মে,911
,Identify different habitats of animals,প্রাণীর বিভিন্ন আবাসস্থল সনাক্ত,912
,Animals live in different environments,প্রাণী বিভিন্ন পরিবেশে বসবাস,913
,Extinction of plants and animals,উদ্ভিদ ও প্রাণীর বিলুপ্তি,914
,Importance of vitamins,ভিটামিনের গুরুত্ব,915
,Animal and vegetable meat,প্রানীজ ও উদ্ভিজ্জ আমিষ,916
,Importance of a balanced diet,সুষম খাদ্যের প্রায়োজনীয়তা,917
,"In population, food and shelter","জনসংখ্যা, খাদ্য ও বাসস্থানে",918
,"Dependence on population, food and shelter","জনসংখ্যা, খাদ্য ও বাসস্থানের  নির্ভশীলতা",919
,Effects of population growth on resources,সম্পদের উপর জনসংখ্যা বৃদ্ধির প্রভাব,920
,population growth 1,জনসংখ্যা বৃদ্ধি ,921
,Survival of plants and animals 1,উদ্ভিদ ও প্রাণীর বেঁচে থাকার ,922
,Additional details if necessary,প্রয়োজনে পরবিশেরে পরর্বিতন ,923
,Dependent on sunlight,সূর্যের আলো  উপর নির্ভরশীল,924
,Plants and animals for food,খাদ্যের জন্য উদ্ভিদ ও প্রাণী,925
,What causes the environment to change?,কি কি কারণে পরিবেশের পরিবর্তণ ঘটে,926
,Type of accident,দূর্ঘটনার ধরণ,927
,Types of accidents,নানা দূর্ঘটনার ধরণ ,928
,an accident,একটি দূর্ঘটনা,929
,Safety of life,জীবনের নিরাপত্তা ,930
, Bitten by snakes and burned by fire, সাপে কাটা ও আগুনে পোড়া,931
,First aid for a burn patient,আগুনে পোড়া রোগীর প্রাথমিক চিকিৎসা,932
,First aid for a drowning patient,পানিতে ডোবা রোগীর প্রাথমিক চিকিৎসা,933
,First aid for electrocuted patients,বিদ্যুৎ স্পৃষ্ট রোগীর প্রাথমিক চিকিৎসা,934
,First aid for snakebite patients,সাপে কাটা রোগীর প্রাথমিক চিকিৎসা ,935
,What is wind?,বায়ু কী,936
, Use of natural resources 1, প্রাকৃতিক সম্পদ ব্যবহার,937
,Different types of natural resources,বিভিন্ন ধরণের প্রাকৃতিক সম্পদ ২,938
,Classification of natural resources,প্রাকৃতকি সম্পদে শ্রেণিবিভাগ,939
,proper use,যথাযথ ব্যবহার,940
,Moon phase in each month,প্রত্যেক মাসে চাঁদের দশা,941
,Fundamental structure in the solar system,সৌরজগতরে মৌলকি গঠ,942
,The structure of the universe,মহাবিশ্বের  গঠন,943
, garbage, ময়লা আবর্জনা ,944
,Soil fertility,মাটির উর্বরতা ,945
,How is the soil contaminated?,মাটি কিভাবে দূষিত ,946
,In soil conservation,মাটি সংরক্ষণে,947
,Hygiene requirements,স্বাস্থ্যবিধি প্রয়োজনীয়তা,948
,In compliance with hygiene rules,স্বাস্থ্যবিধি পালনে,949
,Prevention of water borne diseases,পানিবাহিত রোগ প্রতিরোধ ,950
,Information,তথ্য,951
,Source of information,তথ্যের উৎস,952
,Uses of plants,উদ্ভিদের ব্যবহার,953
, Plants grow, উদ্ভিদ জন্মে,954
,Animal habitat,প্রাণীর আবাসস্থল,955
,Extinction of animals,প্রাণীর বিলুপ্তি,956
,vitamins,ভিটামিন,957
,A balanced diet,সুষম খাদ্যে,958
,Animal and vegetable,প্রানীজ ও উদ্ভিজ্জ,959
,In food and shelter,খাদ্য ও বাসস্থানে,960
,"Population, food","জনসংখ্যা, খাদ্য",961
,Influence of the natural environment,প্রাকৃতিক পরিবেশের প্রভাব,962
,Shelter in animal life,প্রাণীর জীবনে আশ্রয়,963
,Parabishera Pararbitan,পরবিশেরে পরর্বিতন,964
, Dependent on water, পানির উপর নির্ভরশীল,965
,Change in environment,পরিবেশের পরিবর্তণ,966
,accidents in life,জীবনে দূর্ঘটনা,967
,Accident types and prevention,দূর্ঘটনার ধরণ ও প্রতিরোধ,968
,Accident prevention,দূর্ঘটনা প্রতিরোধ,969
,Weight of substance,পদার্থের ওজন,970
,volume of matter,পদার্থের আয়তন,971
,properties of air,বায়ুর বৈশিষ্ট্য,972
, in the form of natural resources, প্রাকৃতিক সম্পদ ধরণে,973
,natural resources,প্রাকৃতিক সম্পদ,974
,Classification,শ্রেণিবিভাগ,975
,Really rich,প্রকৃতকি সম্পদরে ,976
,Observing the position of the moon,চাঁদের দশা পর্যবেক্ষণ,977
,solar system,সৌরজগত,978
, what is galaxy, ছায়াপথ কি,979
,Daily garbage,দৈনন্দিন ময়লা ,980
,Fertility,উর্বরতা,981
,hygiene,স্বাস্থ্যবিধি,982
,water borne,পানিবাহিত,983
,Amar Bangla Boi (Class Five),আমার বাংলা বই (পঞ্চম শ্রেণি),984
,Ei Desh Ei Manush,এই দেশ এই মানুষ 1,985
,Songkolpo,সংকল্প 1,986
,Sundarboner Prani,সুন্দরবনের প্রানী,987
,Hati o shiyaler golpo,হাতি ও শিয়ালের গল্প,988
,Football Kheloyar,ফুটবল খেলোয়াড়,989
,Birer rokte shadhin e desh,বীরের রক্তে স্বাধীন এ দেশ 1,990
,Februyarir gaan,ফেব্রুয়ারির গান 1,991
,Shokher mrit shilpo,শখের মৃৎ শিল্প,992
,Shobdodushon,শব্দদূষণ ,993
,Shoroniyo jara chirodin,স্মরণীয় যারা চিরদিন,994
,Shoroniyo jara chirodin-2,স্বরণীয় যাঁরা চিরদিন-২,995
,Swadesh,স্বদেশ 1,996
,Kanchonmala r Kakonmala,কাঞ্চনমালা আর কাঁকনমালা 1,997
,Obak Jolpaan,অবাক জলপান 1,998
,Gashful,ঘাসফুল 1,999
,Matir Niche j Sohor,মাটির নিচে যে শহর 1,1000
,Shikhagurur Morjada,শিক্ষাগুরুর মর্যাদা 1,1001
,Vabuk Cheleti,ভাবুক ছেলেটি 1,1002
,Dui tire,দুই তীরে 1,1003
,Bidai Hajj,বিদায় হজ্ব,1004
,Dekhe elam nayagra,দেখে এলাম নায়াগ্রা 1,1005
,Rodro likhe joy ,রৌদ্র লেখে জয়,1006
,Maolana abdul hamid khan bhashani,মাওলানা আব্দুল হামিদ খান ভাসানী,1007
,Shahid Titumir,শহিদ তিতুমীর 1,1008
,Opekkha,অপেক্ষা 1,1009
,Amar Bangla Boi_Class Five,আমার বাংলা বই_পঞ্চম শ্রেণি,1010
,The Determination,সংকল্প,1011
,This Country and These People,এই দেশ এই মানুষ,1012
,The Animal Diversity of the Sundarban,সুন্দরবনের প্রাণী,1013
,The Story of And Elephant and A Fox,হাতি আর শিয়ালের গল্প,1014
,This Country is Heroically Independent,বীরের রক্তে স্বাধীন এ দেশ,1016
,The Song of February,ফেব্রুয়ারির গান,1017
,The Hobby of Pottery,শখের মৃৎশিল্প,1018
,Sound Pollution,শব্দদূষণ,1019
,Homeland,স্বদেশ,1021
,Kanchanmala and Kakonmala,কাঞ্চনমালা আর কাঁকনমালা,1022
,A Surprise Drink,অবাক জলপান,1023
,Flora,ঘাসফুল,1024
,A City Underground,মাটির নিচে যে শহর,1025
,The Nobility of A Teacher,শিক্ষাগুরুর মর্যাদা,1026
,The Boy Who Thinks,ভাবুক ছেলেটি,1027
,On Both Sides,দুই তীরে,1028
,BIday Hajj,বিদায় হজ,1029
,Saw the Niagra Falls,দেখে এলাম নায়াগ্রা,1030
,Abdul Hamid Khan Bhashani,মওলানা আব্দুল হামিদ খান ভাসানী,1032
,Titumir: The Martyr ,শহিদ তিতুমীর,1033
,The Wait,অপেক্ষা,1034
,Amar Bangla Boi (Class Five)_Radio,আমার বাংলা বই (পঞ্চম শ্রেণি)_রেডিও,1035
,English for Today (Class Five),ইংলিশ ফর টুডে  (পঞ্চম শ্রেণি),1036
,HELLO!,হ্যালো!,1037
,SEE YOU!,সী ইউ!,1038
,Saikat’s Family,সৈকত’স ফ্যামিলি,1039
,Stressed Syllables,স্ট্রেসড সিলেবাস,1040
,Eat healthy,ইট হেলদি,1041
,Write to me soon!,রাইট টু মি সুন!,1042
, My home district,মাই হোম ডিস্ট্রিক্ট,1043
,Happy Birthday,হ্যাপি বার্থডে,1045
,Sport,স্পোর্টস,1046
,The Liberation War Museum,দ্যা লিবারেশন ওয়ার মিউজিয়াম,1047
,Sunshine Magazine,সানসাইন ম্যাগাজিন,1048
,Life is beautiful!,লাইফ ইজ বিউটিফুল!,1049
,It was a great day,ইট ওয়াজ আ গ্রেট ডে,1050
, Completing Form,কমপ্লিটিং ফর্ম,1051
,Cyclone Aila,সাইক্লোন আলিয়া,1052
,English For Today (Class-5),ইংলিশ ফর টুডে  (৫ম শ্রেণি),1053
,Sound practice,সাউন্ড প্রাকটিস,1054
,Saikat's ,সৈকত’স,1055
,Leisure time,লেযার টাইম,1056
,Be Healty,বি হেলদি,1057
,Where`s the library?,হোয়ারস দ্যা লাইব্রেরি? ,1058
,How far is saint Martins?,হাউ ফার ইজ সেন্ট মার্টিনস? ,1059
,The hare and the tortoise ,দ্যা হার এন্ড দ্যা টরটোইস,1061
,May I come in?,মে আই কাম ইন?,1062
,Birds on Strings,বার্ডস অন স্ট্রিংস,1063
,City and Country,সিটি এন্ড কান্ট্রি,1064
,Stay safe!,স্টে সেফ!,1065
,Why does the frog Croak?,হোয়াই ডাজ দ্যা ফ্রগ ক্রোক?,1066
,English For Today (Class-5)_Radio,ইংলিশ ফর টুডে  (ক্লাস- ৫)_রেডিও,1067
,stressed syllables 1,স্ট্রেসড সিলেবাস ১,1068
,Be Healthy,বি হেলদি ,1069
,stressed syllables 2,স্ট্রেসড সিলেবাস ২,1070
,Write to me soon! 2,রাইট টু মি সুন! ২,1071
,Telling The time 2, টেলিং দ্যা টাইম ,1072
,The Liberation War Museum 2,দ্যা লিবারেশন ওয়ার মিউজিয়াম ২,1073
,Math (Class Five),গণিত (পঞ্চম শ্রেণি),1074
,Mutiplication,গুণ,1075
,Problems Involving Four Rules,চার প্রক্রিয়া সম্পর্কিত সমস্যাবলি,1076
,Unitary Method,লসাগু এর ব্যবহার,1077
,Factor,গুণনীয়ক,1078
,Rectangle and Square,আয়ত ও র্বগ,1079
,Decinals and Fraction,দশমকি ভগ্নাংশ,1080
,Rhombus,রম্বস,1081
,Circle,বৃত্ত,1082
,Average,গড়,1083
,Percentage,শতকরা ,1084
,Area of Rectangles,আয়তরে ক্ষত্রেফল,1085
,"Leap, Year, Decade, Era and Century","অধর্বিষ, দশক, যুক, শতাব্দী",1086
,Data arrangement ,উপাত্ত বিন্যস্তকরণ,1087
,Profit and Loss,লাভ ও ক্ষতি,1088
,Math_Class 5 ,গণিত_৫ম শ্রেণি ,1089
,Multiplication_grade 5,গুণ_৫ম শ্রেণি,1090
,Division_grade 5,ভাগ_৫ম শ্রেণি,1091
,Mathmatical Symbols_grade 5,গাণিতিক প্রতীক_৫ম শ্রেণি,1092
,Multiples and factors_grade 5,গুণিতক ও গুণনীয়ক_৫ম শ্রেণি,1093
,Fractions_grade 5,ভগ্নাংশ_৫ম শ্রেণি,1094
,Percentage ,শতকরা,1095
,Geometry_grade 5,জ্যামিতি_৫ম শ্রেণি,1096
,Measurement_grade 5,পরিমাপ_৫ম শ্রেণি,1097
,Time_grade 5,সময়_৫ম শ্রেণি,1098
,Calculator and computer ,ক্যলকুলেটর ও কম্পিউটার,1099
,Math (Class Five)_Radio,গণিত (পঞ্চম শ্রেণি)_রেডিও,1100
,Decimals and Fractions,দশমিক ভগ্নাংশ ১,1101
,Science_Grade_Five,সাধারণ বিজ্ঞান (৫ম শ্রেণি),1102
,Relationship between Living and Non Living Things,জীব ও জড়ের মধ্যেকার সম্পর্ক,1103
,Matual Dependece between Plans and Animals,উদ্ভিদ ও প্রাণীর পারস্পরিক নির্ভরশীলতা,1104
,Energy Flow,শক্তি প্রবাহ 2,1105
,Food Chain 1,শক্তি প্রবাহ: খাদ্য শৃঙ্খল,1106
,What is food web?,খাদ্য জাল কী?,1107
,Pollution In Our Enviroment 1,আমাদের পরিবেশ দূষণ,1108
,Types of Enviromental Pollution (Reasons for air pollution and water pollution),বিভিন্ন ধরণের পরিবেশ দূষণ (বায়ু দূষণ এবং পানি দূষণের কারণ),1109
,Types of Enviromental Pollution (Impact of air pollution and water pollution),বিভিন্ন ধরণের পরিবেশ দূষণ- বায়ু দূষণ এবং পানি দূষণের ক্ষতিকর প্রভাব,1110
,Types of Enviromental Pollution (Soud Pollution),বিভিন্ন ধরণের পরিবেশ দূষণ (শব্দ দূষণ),1111
,Types of Enviromental Pollution (Soil Pollution),বিভিন্ন ধরণের পরিবেশ দূষণ (মাটি দূষণ),1112
,Conservation of Our Enviroment,পরিবেশ সংরক্ষণ,1113
,Water for Plants and animals,উদ্ভিদ ও প্রাণীর জন্য পানি,1114
,Changing State fo Water,পানির অবস্থানর পরিবর্তন,1115
,Water cycle,পানি চক্র,1116
,Safe Water,নিরাপদ পানি,1117
,Use of Air Flow,বায়ু প্রবাহের ব্যবহার,1118
,Use of Air,বায়ুর ব্যবহার,1119
,Air Pollution,বায়ু দূষণ,1120
,Prevent Air Pollution,বায়ু দূষণ প্রতিরোধ,1121
,Effects of Air Pollution,বায়ু দূষণের প্রভাব,1122
,Energy around us,আমাদের চারপাশে শক্তিসমূহ,1123
,Forms of Energy,কোন ধরণের শক্তি কী কী কাজে ব্যবহৃত হয়,1124
,Transfer to Energy 1,শক্তির রুপান্তর,1125
,Transfermation of Energy,শক্তির সঞ্চালন,1126
,Transfer to Heat,তাপ সঞ্চালন-পরিবহন,1127
,Transfer to Energy,শক্তির সঞ্চালন-পরিচলন,1128
,Energy Convection and Radiation,শক্তির সঞ্চালন-বিকিরণ,1129
,Proper use and saving of Energy,শক্তির যথাযথ ব্যবহার এবং সংরক্ষণ,1130
,Structure of Matter,পদার্থের গঠন,1131
,Balanced Diet 2,সুষম খাদ্য ২,1132
,Food to Eat Limited,যে সকল খাদ্য কম খাওয়া উচিত,1133
,Infectious Diseases,সংক্রামক রোগ,1134
,Puberty,বয়ঃসন্ধি,1135
,Size Of Universe,মহাবিশ্ব ও পৃথিবী: মহাবিশ্বের আকার,1136
,Motions of Earth,পৃথিবীর গতি ১,1137
,Day and Night,দিন ও রাত,1138
,Season,ঋতু,1139
,The Phases of the Moon,চাঁদের দশাসমূহ বা অবস্থার পরিবর্তন,1140
,Science and Technolgy,বিজ্ঞান ও প্রযুক্তি ১,1141
,Technology In Agriculture,কৃষিতে প্রযুক্তি ১,1142
,Technology In Our Life,আমাদের জীবনে প্রযুক্তি,1143
,Importance of Information Sharing (Personal),তথ্য বিনিময়ের গুরুত্ব (ব্যক্তিগত),1144
,Importance of Information Sharing (State),তথ্য বিনিময়ের গুরুত্ব (রাষ্ট্রিয়),1145
,Collection Of Information,তথ্য সংগ্রহ ১,1146
,Storage of Information,তথ্য সংরক্ষণ ,1147
,Storage and Exchange of Information,তথ্য সংরক্ষণ ও বিনিময়,1148
,Relationship between Weather and Climate,আবহাওয়া ও জলবায়ুর মধ্যে সম্পর্ক,1149
,Air Pressure and Wind,বায়ুচাপ ও বায়ুপ্রবাহ,1150
,Elements of weather and climate,আবহাওয়া ও জলবায়ুর উপাদান,1151
,Extreme Weather,বিরূপ আবহাওয়া,1152
,Extreme Weather (Cyclone),"বিরূপ আবহাওয়া ( কালবৈশাখী, টর্নেডো, ঘূর্ণিঝড় বা সাইক্লোন)",1153
,Climate Change,জলবায়ুর পরির্বতন,1154
,Our Resources,আমাদের সম্পদ,1155
,Wise Use of Natural Resources,প্রাকৃতিক সম্পদের যথাযথ ব্যবহার ১,1156
,Population growth and population density,জনসংখ্যার বৃদ্ধি ও জনসংখ্যার ঘনত্ব,1157
,Population growth and Human Needs,জনসংখ্যা বৃদ্ধি ও মানুষের চাহিদা,1158
,Impact of Population Growth on Enviroment,পরিবেেশের উপর জনসংখ্যা বৃদ্ধির প্রভাব,1159
,Role of Science and technology to solve Population Problems,জনসংখ্যা সমস্যা সমাধানে বিজ্ঞান ও প্রযুক্তির ভূমিকা,1160
,Primary Science Grade 5,প্রাথমিক বিজ্ঞান পঞ্চম শ্রেণি,1161
,What causes environmental pollution?,কি কি কারণে পরিবেশ দূষণ হয় ,1162
, How can we save the environment?, কিভাবে পরিবেশ সংরক্ষণ করতে পারি,1163
,Water requirements for organisms,জীবের জন্য পানির প্রয়োজনীয়তা,1164
,How are water droplets made?,পানির ফোঁটাগুলো কিভাবে তৈরী,1165
,weather forecast,আবহাওয়ার পূর্বাভাস,1166
,Information exchange,তথ্য বিনিময়,1167
,Data collection,তথ্য সংগ্রহ,1168
,Science and Technology,বিজ্ঞান ও প্রযুক্তি,1169
,Relationship between science and technology,বিজ্ঞান ও প্রযুক্তির সম্পর্ক,1170
,Harmful effects of technology,প্রযুক্তির ক্ষতিকর প্রভাব,1171
,Dependence of plants and animals,উদ্ভিদ ও প্রাণীর নির্ভরশীলতা,1172
,Survival of plants and animals,উদ্ভিদ ও প্রাণীর বেঁচে থাকা,1173
,Population growth,জনসংখ্যা বৃদ্ধির ,1174
,Human needs,মানুষের চাহিদা,1175
,Water for life,জীবের জন্য পানি,1176
,"""water cycle""",“পানি চক্র”,1177
,What is the water cycle?,পানি চক্র কি? ,1178
,Water is the cause of pollution,পানি দুষণের কারণ,1179
,Water purification,পানি বিশুদ্ধকরণ ,1180
,what is power,শক্তি কী,1181
,source of energy.,শক্তির উৎস। ,1182
,"""Transformation of Power""",“শক্তির রুপান্তর” ,1183
,Power conversion graphics,শিক্তির রুপান্তর গ্র্যাফিক্স,1184
,Heat conduction,তাপ সঞ্চালন,1185
,Conduction of heat and light,তাপ ও আলোর সঞ্চালন,1186
,Energy consumption,শক্তির ব্যবহার ,1187
, Environmental pollution, পরিবেশ দূষণ,1188
,What kind of resources do we have?,আমাদের কী ধরনের সম্পদ,1189
, Use of natural resources 2, প্রাকৃতিক সম্পদেরব্যবহার,1190
,Air in daily life 1,দৈনন্দিন জীবনে বায়ু,1191
,Causes of air pollution,বায়ু দুষণের কারণ ,1192
,the universe,মহাবিশ্ব,1193
,speed of the earth,পৃথিবীর গতি,1194
,How is day and night?,কীভাবে দিন ও রাত হয়।  ,1195
,Practice-Earth speed,অনুশীলন-পৃথিবীর আহ্নিক গতি,1196
,Seasonal change,ঋতু পরিবর্তন,1197
,Phases of the Moon,চাঁদের দশাসমূহ,1198
,balanced diet,সুষম খাদ্য ৩,1199
, What foods should be avoided?, কোন খাবার পরিহার করা উচিত?,1200
,What is an infectious disease?,সংক্রামক রোগ কী,1201
,Types of infectious diseases,সংক্রামক রোগের প্রকারভেদ,1202
,Disease prevention,রোগের প্রতিরোধ,1203
,What is puberty?,বয়ঃসন্ধি কী?,1204
, Sources and causes of pollution, দূষণের উৎস ও কারণ,1205
,Causes environmental pollution,পরিবেশ দূষণের কারণ,1206
,food chain 2,খাদ্য শৃঙ্খল,1207
,Solar energy is transmitted to living things,সৌরশক্তি জীবে সঞ্চারিত,1208
,Environmental pollution,পরিবেশ দূষণ,1209
,Environmental protection,পরিবেশ সংরক্ষণ ,1210
,Water requirement,পানির প্রয়োজনীয়তা,1211
,weather,আবহাওয়ার,1212
, the climate, জলবায়ু,1213
,Storage and exchange,সংরক্ষণ ও বিনিময়,1214
,science,বিজ্ঞান ,1215
,agriculture,কৃষি,1216
, Technology, প্রযুক্তি,1217
,of plants and animals,উদ্ভিদ ও প্রাণীর,1218
,physical environment,ভৌত পরিবেশ,1219
,water drop,পানির ফোঁটা,1220
,Effects of water pollution,পানি দূষনের প্রভাব,1221
,Purification,বিশুদ্ধকরণ,1222
, strong, শক্তিসমুহ ,1223
,strength,শক্তি,1224
, Energy from the sun, সূর্য থেকে পাওয়া শক্তি,1225
,education,শিক্তি,1226
,the heat,তাপ,1227
,Transmission of light,আলোর সঞ্চালন,1228
,Conservation of energy,শক্তির সংরক্ষণ,1229
,in substance,পদার্থে,1230
, pollution, দূষণ,1231
,wealth,সম্পদ,1232
,Man-made resources,মানবসৃষ্ট সম্প,1233
,air,বায়ু,1234
,the world,পৃথিবী,1235
,How the world spins,পৃথিবী কীভাবে ঘোরে,1236
,instantaneous speed,আহ্নিক গতি,1237
,the season,ঋতু ,1238
,Moon's condition,চাঁদের অবস্থার,1239
,essential food,প্রয়োজনীয় খাদ্য,1240
,Spread of infectious diseases,সংক্রামক রোগের বিস্তার,1241
,Disease cure,রোগের প্রতিকার ,1242
, Body care during adolescence, বয়ঃসন্ধিকালে শরীরের যত্ন,1243
,Effects of environmental pollution.,পরিবেশ দূষণের প্রভাব।,1244
,Explain what a food web is,খাদ্য জাল কী তা ব্যাখা,1245
,transmitted to organisms,জীবে সঞ্চারিত,1246
,Elements of climate,জলবায়ুর উপাদান,1247
,Primary Science (Class Five)_Radio,প্রাথমিক বিজ্ঞান (পঞ্চম শ্রেণি)_রেডিও,1248
,Relationship between Living and Non Living Things 2,জীব ও জড় বস্তুর মধ্যকার সম্পর্ক,1249
,Matual Dependece between Plants and Animals, উদ্ভিদ ও প্রাণীর পারস্পরিক নির্ভরশীলতা,1250
,Food Chain,শক্তি প্রবাহ,1251
,Pollution In Our Enviroment,আমাদের পরিবেশ দুষণ,1252
,Types of Enviromental Pollution ,বিভিন্ন ধরনের পরিবেশ দুষণ,1253
,Air in Daily Life, দৈনন্দিন জীবনে বায়ু,1254
,Necessity of Balance Diet,সুষম খাদ্যের প্রয়োজনীয়তা,1255
